metric,metric_display_name,horizon,point_estimate,ci_lower,ci_upper,bootstrap_probability_positive,number_of_blocks
normalized_l2,Normalized L2 reduction,1,0.0033598914556205286,0.0014466138209681964,0.005258059514919296,0.9995,80
normalized_l2,Normalized L2 reduction,2,0.0012870502192527053,-0.002064559919293967,0.004296740513294933,0.7926,80
normalized_l2,Normalized L2 reduction,4,0.0066692231502383905,0.0024551141341216842,0.010826768542407075,0.9988,80
normalized_l2,Normalized L2 reduction,8,0.008356585223227742,0.0016295242074411411,0.0142164518777281,0.9913,80
normalized_l2,Normalized L2 reduction,16,0.026416160017251965,0.020563848800957202,0.03167323881760239,1.0,80
normalized_l2,Normalized L2 reduction,32,0.04511749610304834,0.03816407044976952,0.05183782134111972,1.0,80
output_kl,Output KL reduction,1,0.017924948371946827,0.008019726224709338,0.027795629343017957,0.9997,80
output_kl,Output KL reduction,2,0.03428914783522486,0.01974704259959979,0.04879481934662907,1.0,80
output_kl,Output KL reduction,4,0.08564436520449818,0.06566779546253385,0.1054910965764429,1.0,80
output_kl,Output KL reduction,8,0.15285773782059556,0.12687706115376204,0.178742669983767,1.0,80
output_kl,Output KL reduction,16,0.4281534602493048,0.38366753290221095,0.4740188879650086,1.0,80
output_kl,Output KL reduction,32,1.4010264851897953,1.306025099232793,1.50454566267319,1.0,80
top1_agreement,Top-1 agreement increase,1,-0.004999999999999998,-0.024999999999999998,0.015000000000000003,0.3307,80
top1_agreement,Top-1 agreement increase,2,-0.005000000000000002,-0.03250000000000001,0.0225,0.33,80
top1_agreement,Top-1 agreement increase,4,0.019999999999999997,-2.7755575615628915e-18,0.04,0.9659,80
top1_agreement,Top-1 agreement increase,8,0.019999999999999997,-0.005000000000000001,0.045,0.936,80
top1_agreement,Top-1 agreement increase,16,0.03250000000000001,0.002500000000000005,0.0625,0.9889,80
top1_agreement,Top-1 agreement increase,32,0.125,0.09,0.16,1.0,80
