method,gamma,num_chains,mean_accepted_prefix,std_accepted_prefix,mean_accepted_beyond_first,full_acceptance_rate,acceptance_rate_pos2plus
Multi-step,2,400,1.505,0.5006011423872287,0.505,0.505,0.505
Multi-step,4,400,1.805,0.9691869315414219,0.805,0.09,0.26833333333333337
Multi-step,8,400,1.8375,1.06721183593366,0.8375,0.0,0.11964285714285715
On-policy latent,2,400,1.515,0.5004008418320912,0.515,0.515,0.515
On-policy latent,4,400,1.8175,0.9703337668285175,0.8175,0.0925,0.2725
On-policy latent,8,400,1.8575,1.0863443792258918,0.8575,0.0,0.12250000000000001
One-step,2,400,1.5,0.5006261743217586,0.5,0.5,0.5
One-step,4,400,1.7625,0.9237027752705991,0.7625,0.0725,0.25416666666666665
One-step,8,400,1.8,1.0453381412604892,0.8,0.0025,0.1142857142857143
Survival-weighted,2,400,1.5225,0.5001190334500855,0.5225,0.5225,0.5225
Survival-weighted,4,400,1.8175,0.952081876599578,0.8175,0.0825,0.2725
Survival-weighted,8,400,1.8525,1.062339476300899,0.8525,0.0025,0.12178571428571429
