method,gamma,num_chains,mean_expected_prefix,mean_empirical_prefix,std_empirical_prefix,full_acceptance_rate
Decoder-KL,2,400,1.4978150627868139,1.5275,0.4998684037350549,0.5275
Decoder-KL,4,400,1.7733487913053299,1.83,0.9635460822563593,0.09
Decoder-KL,8,400,1.824042349954234,1.87,1.0844538257808058,0.0
Local-LK,2,400,1.4996470050115212,1.5225,0.5001190334500853,0.5225
Local-LK,4,400,1.7725222852866227,1.8125,0.9511073878158526,0.085
Local-LK,8,400,1.82595277490147,1.855,1.0848581903793153,0.0
Multi-step,2,400,1.485318240388583,1.505,0.5006011423872287,0.505
Multi-step,4,400,1.7534993631457712,1.805,0.9691869315414219,0.09
Multi-step,8,400,1.8010750001268818,1.8375,1.06721183593366,0.0
Survival-LK,2,400,1.493836863826793,1.515,0.5004008418320913,0.515
Survival-LK,4,400,1.7690117997008739,1.815,0.9607719327535111,0.085
Survival-LK,8,400,1.8191688724030655,1.8425,1.04662903209641,0.0
