model,domain,gamma,prompt_index,cluster_id,trial_index,position,drafted_rounds,reached_rounds,accepted_tokens
H1,TinyStories validation,2,0,0,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,0,0,0,2,11.0,11.0,11.0
H1,TinyStories validation,2,0,0,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,0,0,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,0,0,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,0,0,2,2,11.0,11.0,10.0
H1,TinyStories validation,2,0,0,3,1,13.0,13.0,12.0
H1,TinyStories validation,2,0,0,3,2,13.0,12.0,8.0
H1,TinyStories validation,2,1,1,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,1,1,0,2,12.0,12.0,9.0
H1,TinyStories validation,2,1,1,1,1,12.0,12.0,11.0
H1,TinyStories validation,2,1,1,1,2,12.0,11.0,9.0
H1,TinyStories validation,2,1,1,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,1,1,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,1,1,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,1,1,3,2,11.0,11.0,10.0
H1,TinyStories validation,2,2,2,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,2,2,0,2,11.0,11.0,11.0
H1,TinyStories validation,2,2,2,1,1,11.0,11.0,11.0
H1,TinyStories validation,2,2,2,1,2,11.0,11.0,10.0
H1,TinyStories validation,2,2,2,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,2,2,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,2,2,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,2,2,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,3,3,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,3,3,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,3,3,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,3,3,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,3,3,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,3,3,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,3,3,3,1,11.0,11.0,11.0
