domain,model,gamma,decodes,generated_tokens,verification_rounds,mean_accepted_prefix,mean_accepted_beyond_first,acceptance_rate_pos2plus,position_1_survival,emitted_tokens_per_round,rounds_per_100_tokens,mean_decode_seconds
TinyStories validation,H1,2,512,16384,6098.0,1.7407346671039685,0.7449983601180715,0.7675282986991045,0.995736306985897,2.6867825516562807,37.21923828125,0.11071594722463729
TinyStories validation,H1,4,512,16384,4781.0,2.500941225685003,1.5049152896883498,0.5330024446255278,0.9960259359966535,3.4268981384647565,29.180908203125,0.09782298024415326
TinyStories validation,H1,8,512,16384,4384.0,2.8273266423357666,1.83257299270073,0.2975555555555556,0.9947536496350365,3.7372262773722627,26.7578125,0.10602444689845036
TinyStories validation,H8,2,512,16384,6274.0,1.661778769525024,0.6671979598342366,0.6886000987004441,0.9945808096907873,2.6114121772394006,38.29345703125,0.11259735007030791
TinyStories validation,H8,4,512,16384,4872.0,2.435960591133005,1.4392446633825944,0.5118995473791794,0.9967159277504105,3.3628899835796386,29.736328125,0.09995355164648778
TinyStories validation,H8,8,512,16384,4249.0,2.947517062838315,1.951988703224288,0.31592579895630973,0.9955283596140269,3.855966109672864,25.933837890625,0.10343846329297968
WikiText-103 test OOD,H1,2,512,16384,6199.0,1.6923697370543636,0.697693176318761,0.718796742562739,0.9946765607356025,2.643006936602678,37.835693359375,0.11128804450391705
WikiText-103 test OOD,H1,4,512,16384,4979.0,2.359911628841133,1.3639284996987346,0.48248667850799287,0.9959831291423981,3.2906206065474994,30.389404296875,0.10101575163279541
WikiText-103 test OOD,H1,8,512,16384,4613.0,2.637762844136137,1.6423151961846953,0.2668357283741899,0.9954476479514416,3.551701712551485,28.155517578125,0.11069325818163556
WikiText-103 test OOD,H8,2,512,16384,6340.0,1.6332807570977919,0.63801261829653,0.6542131651301957,0.9952681388012619,2.5842271293375396,38.6962890625,0.11490543359764871
WikiText-103 test OOD,H8,4,512,16384,5084.0,2.293273013375295,1.2993705743509048,0.4595158597662771,0.9939024390243902,3.222659323367427,31.0302734375,0.10380331256640041
WikiText-103 test OOD,H8,8,512,16384,4554.0,2.681159420289855,1.6870882740447959,0.27319276037407103,0.9940711462450593,3.5977162933684674,27.79541015625,0.11092298879298568
