model,domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus,mean_accepted_prefix,mean_accepted_beyond_first,emitted_tokens_per_round,rounds_per_100_tokens,verification_rounds,position_1_survival,decode_seconds
H1,TinyStories validation,2,0,0,0,62,1.0,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.10497212799964473
H1,TinyStories validation,2,0,0,1,100062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11698115999934089
H1,TinyStories validation,2,0,0,2,200062,0.9090909090909091,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.10650816899942583
H1,TinyStories validation,2,0,0,3,300062,0.6153846153846154,1.5384615384615385,0.6153846153846154,2.4615384615384617,40.625,13.0,0.9230769230769231,0.12302348499997606
H1,TinyStories validation,2,1,1,0,1062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12140027599980385
H1,TinyStories validation,2,1,1,1,101062,0.75,1.6666666666666667,0.75,2.6666666666666665,37.5,12.0,0.9166666666666666,0.11150581399942894
H1,TinyStories validation,2,1,1,2,201062,0.5833333333333334,1.5384615384615385,0.5384615384615384,2.4615384615384617,40.625,13.0,1.0,0.11813872099992295
H1,TinyStories validation,2,1,1,3,301062,0.9090909090909091,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.11993097999948077
H1,TinyStories validation,2,2,2,0,2062,1.0,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1072664290004468
H1,TinyStories validation,2,2,2,1,102062,0.9090909090909091,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.10350182499951188
H1,TinyStories validation,2,2,2,2,202062,0.8181818181818182,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11352712799998699
H1,TinyStories validation,2,2,2,3,302062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11163683999984642
H1,TinyStories validation,2,3,3,0,3062,0.8181818181818182,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11272270900008152
H1,TinyStories validation,2,3,3,1,103062,0.8181818181818182,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.10989161099951161
H1,TinyStories validation,2,3,3,2,203062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11216442400018423
H1,TinyStories validation,2,3,3,3,303062,0.9090909090909091,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.10260680900046282
H1,TinyStories validation,2,4,4,0,4062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.13156510000044364
H1,TinyStories validation,2,4,4,1,104062,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.14955161299985775
H1,TinyStories validation,2,4,4,2,204062,1.0,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1374077769996802
H1,TinyStories validation,2,4,4,3,304062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.14773692099970503
H1,TinyStories validation,2,5,5,0,5062,0.5833333333333334,1.5384615384615385,0.5384615384615384,2.4615384615384617,40.625,13.0,1.0,0.16000353300023562
H1,TinyStories validation,2,5,5,1,105062,0.8181818181818182,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.14175539299958473
H1,TinyStories validation,2,5,5,2,205062,0.8181818181818182,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11329580799974792
H1,TinyStories validation,2,5,5,3,305062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11018396500003291
