domain,gamma,cluster_id,prompts_in_cluster,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
TinyStories validation,2,0,1,-0.17599067599067597,-0.19522144522144524,-0.1840034965034965,-0.17249417249417254,-2.34375
TinyStories validation,2,1,1,-0.059003496503496566,-0.07983682983682983,-0.074009324009324,-0.06060606060606066,-0.78125
TinyStories validation,2,2,1,-0.21605477855477856,-0.19682400932400934,-0.2138694638694639,-0.17249417249417254,-2.34375
TinyStories validation,2,3,1,-0.13432400932400929,-0.13432400932400934,-0.16841491841491846,-0.11188811188811187,-1.5625
TinyStories validation,2,4,1,-0.1477272727272727,-0.14772727272727273,-0.136509324009324,-0.10256410256410242,-1.5625
TinyStories validation,2,5,1,-0.09455128205128199,-0.09455128205128208,-0.11742424242424246,-0.05128205128205121,-0.78125
TinyStories validation,2,6,1,-0.10416666666666669,-0.0657051282051282,-0.06993006993006995,-0.10256410256410242,-1.5625
TinyStories validation,2,7,1,-0.18371212121212122,-0.18371212121212122,-0.15544871794871792,-0.181818181818182,-2.34375
TinyStories validation,2,8,1,-0.07211538461538464,-0.07371794871794873,-0.056672494172494176,-0.05128205128205121,-0.78125
TinyStories validation,2,9,1,0.04166666666666663,0.041666666666666685,0.05871212121212124,0.0,0.0
TinyStories validation,2,10,1,-0.06060606060606061,-0.06060606060606061,-0.06060606060606061,-0.06060606060606066,-0.78125
TinyStories validation,2,11,1,-0.2664835164835164,-0.24862637362637363,-0.23499417249417248,-0.2584082584082583,-3.90625
TinyStories validation,2,12,1,-0.017045454545454586,-0.01704545454545453,-0.01704545454545453,-0.06060606060606066,-0.78125
TinyStories validation,2,13,1,-0.11188811188811193,-0.11188811188811187,-0.1177156177156177,-0.11188811188811187,-1.5625
TinyStories validation,2,14,1,-0.10387529137529139,-0.10387529137529136,-0.09265734265734263,-0.16317016317016309,-2.34375
TinyStories validation,2,15,1,0.009324009324009341,0.009324009324009314,0.009324009324009314,0.05128205128205121,0.78125
TinyStories validation,2,16,1,0.1647727272727273,0.14554195804195805,0.15136946386946387,0.16317016317016309,2.34375
TinyStories validation,2,17,1,-0.09265734265734266,-0.09265734265734266,-0.047348484848484806,-0.11188811188811187,-1.5625
TinyStories validation,2,18,1,-0.020833333333333315,-0.020833333333333343,-0.032051282051282076,0.0,0.0
TinyStories validation,2,19,1,-0.05288461538461536,-0.07371794871794873,-0.0625,-0.05128205128205121,-0.78125
TinyStories validation,2,20,1,-0.14554195804195802,-0.14554195804195805,-0.15136946386946387,-0.16317016317016309,-2.34375
TinyStories validation,2,21,1,-0.04006410256410259,-0.059294871794871806,-0.09338578088578092,0.0,0.0
TinyStories validation,2,22,1,0.050990675990676027,0.03015734265734263,0.0018939393939393367,0.11188811188811187,1.5625
TinyStories validation,2,23,1,0.15515734265734266,0.15515734265734266,0.12689393939393936,0.17249417249417254,2.34375
TinyStories validation,2,24,1,0.08493589743589741,0.08493589743589744,0.0737179487179487,0.10256410256410242,1.5625
TinyStories validation,2,25,1,-0.03205128205128205,-0.03205128205128205,-0.049096736596736607,-0.05128205128205121,-0.78125
TinyStories validation,2,26,1,-0.13988095238095238,-0.13988095238095236,-0.1330128205128205,-0.1558441558441559,-2.34375
TinyStories validation,2,27,1,-0.21955128205128205,-0.21955128205128205,-0.18006993006993002,-0.2144522144522143,-3.125
TinyStories validation,2,28,1,-0.2857142857142857,-0.2664835164835165,-0.29953379953379955,-0.2584082584082583,-3.90625
TinyStories validation,2,29,1,-0.20833333333333331,-0.20833333333333334,-0.20294289044289043,-0.16317016317016309,-2.34375
TinyStories validation,2,30,1,-0.06060606060606061,-0.06060606060606061,-0.07182400932400934,-0.06060606060606066,-0.78125
TinyStories validation,2,31,1,-0.020833333333333315,-0.020833333333333343,-0.043706293706293725,0.0,0.0
TinyStories validation,2,32,1,-0.1856060606060606,-0.16477272727272727,-0.1477272727272727,-0.181818181818182,-2.34375
TinyStories validation,2,33,1,-0.009615384615384581,0.011217948717948706,-2.7755575615628914e-17,0.05128205128205121,0.78125
TinyStories validation,2,34,1,-0.08916083916083917,-0.08916083916083917,-0.1003787878787879,-0.06993006993007012,-0.78125
TinyStories validation,2,35,1,-0.013278388278388287,0.004578754578754576,0.018648018648018655,0.007326007326007189,0.0
TinyStories validation,2,36,1,-0.0525641025641026,-0.035897435897435895,-0.04235347985347987,-0.030769230769230882,-0.78125
TinyStories validation,2,37,1,-0.03205128205128205,-0.05288461538461539,-0.04166666666666666,-0.05128205128205121,-0.78125
