domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus_H1,mean_accepted_prefix_H1,mean_accepted_beyond_first_H1,emitted_tokens_per_round_H1,rounds_per_100_tokens_H1,verification_rounds_H1,position_1_survival_H1,decode_seconds_H1,acceptance_rate_pos2plus_H8,mean_accepted_prefix_H8,mean_accepted_beyond_first_H8,emitted_tokens_per_round_H8,rounds_per_100_tokens_H8,verification_rounds_H8,position_1_survival_H8,decode_seconds_H8,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
TinyStories validation,2,0,0,0,62,1.0,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.10497212799964473,0.5833333333333334,1.5384615384615385,0.5384615384615384,2.4615384615384617,40.625,13.0,1.0,0.12113357099951827,-0.46153846153846145,-0.46153846153846156,-0.41666666666666663,-0.4475524475524475,-6.25
TinyStories validation,2,0,0,1,100062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11698115999934089,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11033733200019924,0.0,0.0,0.0,0.0,0.0
TinyStories validation,2,0,0,2,200062,0.9090909090909091,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.10650816899942583,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.1108432190003441,-0.24242424242424243,-0.24242424242424243,-0.24242424242424243,-0.24242424242424265,-3.125
TinyStories validation,2,0,0,3,300062,0.6153846153846154,1.5384615384615385,0.6153846153846154,2.4615384615384617,40.625,13.0,0.9230769230769231,0.12302348499997606,0.5384615384615384,1.5384615384615385,0.5384615384615384,2.4615384615384617,40.625,13.0,1.0,0.12409862899949076,0.0,-0.07692307692307698,-0.07692307692307698,0.0,0.0
TinyStories validation,2,1,1,0,1062,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12140027599980385,0.8181818181818182,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11150081300002057,0.0,0.0,0.06818181818181823,0.0,0.0
TinyStories validation,2,1,1,1,101062,0.75,1.6666666666666667,0.75,2.6666666666666665,37.5,12.0,0.9166666666666666,0.11150581399942894,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.11129134800012253,0.0,-0.08333333333333337,-0.08333333333333337,0.0,0.0
TinyStories validation,2,1,1,2,201062,0.5833333333333334,1.5384615384615385,0.5384615384615384,2.4615384615384617,40.625,13.0,1.0,0.11813872099992295,0.75,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.1098785369995312,0.21153846153846145,0.21153846153846156,0.16666666666666663,0.20512820512820484,3.125
TinyStories validation,2,1,1,3,301062,0.9090909090909091,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.11993097999948077,0.46153846153846156,1.4615384615384615,0.46153846153846156,2.4615384615384617,40.625,13.0,1.0,0.12009655599922553,-0.4475524475524477,-0.4475524475524475,-0.4475524475524475,-0.4475524475524475,-6.25
TinyStories validation,2,2,2,0,2062,1.0,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1072664290004468,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.11054551899997023,-0.33333333333333326,-0.33333333333333337,-0.33333333333333337,-0.24242424242424265,-3.125
TinyStories validation,2,2,2,1,102062,0.9090909090909091,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.10350182499951188,0.5384615384615384,1.4615384615384615,0.5384615384615384,2.4615384615384617,40.625,13.0,0.9230769230769231,0.1187065320000329,-0.4475524475524477,-0.3706293706293706,-0.3706293706293706,-0.4475524475524475,-6.25
TinyStories validation,2,2,2,2,202062,0.8181818181818182,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.11352712799998699,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.10959255399939138,-0.08333333333333326,-0.08333333333333337,-0.1515151515151516,0.0,0.0
