domain,model,gamma,position,drafted_rounds,reached_rounds,accepted_tokens,conditional_acceptance,survival_acceptance
TinyStories validation,H1,2,1,6098.0,6098.0,6072.0,0.995736306985897,0.995736306985897
TinyStories validation,H1,2,2,5919.0,5894.0,4543.0,0.7707838479809976,0.7675282986991045
TinyStories validation,H1,4,1,4781.0,4781.0,4762.0,0.9960259359966535,0.9960259359966535
TinyStories validation,H1,4,2,4652.0,4633.0,3622.0,0.7817828620764083,0.7785898538263113
TinyStories validation,H1,4,3,4500.0,3502.0,2271.0,0.6484865790976585,0.5046666666666667
TinyStories validation,H1,4,4,4347.0,2199.0,1302.0,0.592087312414734,0.2995169082125604
TinyStories validation,H1,8,1,4384.0,4384.0,4361.0,0.9947536496350365,0.9947536496350365
TinyStories validation,H1,8,2,4245.0,4222.0,3268.0,0.7740407389862625,0.7698468786808009
TinyStories validation,H1,8,3,4111.0,3160.0,2048.0,0.6481012658227848,0.4981756263682802
TinyStories validation,H1,8,4,3971.0,1976.0,1218.0,0.6163967611336032,0.30672374716696044
TinyStories validation,H1,8,5,3860.0,1186.0,695.0,0.5860033726812817,0.1800518134715026
TinyStories validation,H1,8,6,3731.0,671.0,413.0,0.6154992548435171,0.11069418386491557
TinyStories validation,H1,8,7,3605.0,403.0,252.0,0.6253101736972705,0.06990291262135923
TinyStories validation,H1,8,8,3477.0,246.0,140.0,0.5691056910569106,0.04026459591601956
TinyStories validation,H8,2,1,6274.0,6274.0,6240.0,0.9945808096907873,0.9945808096907873
TinyStories validation,H8,2,2,6079.0,6045.0,4186.0,0.6924731182795699,0.6886000987004441
TinyStories validation,H8,4,1,4872.0,4872.0,4856.0,0.9967159277504105,0.9967159277504105
TinyStories validation,H8,4,2,4715.0,4699.0,3291.0,0.7003617791019365,0.6979851537645811
TinyStories validation,H8,4,3,4569.0,3197.0,2225.0,0.6959649671567094,0.48697745677391113
TinyStories validation,H8,4,4,4414.0,2158.0,1496.0,0.6932344763670065,0.33892161304938834
TinyStories validation,H8,8,1,4249.0,4249.0,4230.0,0.9955283596140269,0.9955283596140269
TinyStories validation,H8,8,2,4124.0,4106.0,2899.0,0.7060399415489528,0.7029582929194956
TinyStories validation,H8,8,3,3993.0,2811.0,1956.0,0.695837780149413,0.4898572501878287
TinyStories validation,H8,8,4,3881.0,1907.0,1329.0,0.6969061352910331,0.3424375161040969
TinyStories validation,H8,8,5,3747.0,1278.0,894.0,0.6995305164319249,0.23859087269815854
TinyStories validation,H8,8,6,3634.0,859.0,576.0,0.670547147846333,0.15850302696752888
TinyStories validation,H8,8,7,3503.0,561.0,382.0,0.6809269162210339,0.1090493862403654
TinyStories validation,H8,8,8,3371.0,365.0,258.0,0.7068493150684931,0.07653515277365767
WikiText-103 test OOD,H1,2,1,6199.0,6199.0,6166.0,0.9946765607356025,0.9946765607356025
WikiText-103 test OOD,H1,2,2,6017.0,5985.0,4325.0,0.722639933166249,0.718796742562739
WikiText-103 test OOD,H1,4,1,4979.0,4979.0,4959.0,0.9959831291423981,0.9959831291423981
WikiText-103 test OOD,H1,4,2,4846.0,4826.0,3458.0,0.7165354330708661,0.7135782088320264
WikiText-103 test OOD,H1,4,3,4702.0,3357.0,2083.0,0.6204944891271968,0.44300297745640155
WikiText-103 test OOD,H1,4,4,4527.0,2011.0,1250.0,0.6215813028344107,0.276121051468964
WikiText-103 test OOD,H1,8,1,4613.0,4613.0,4592.0,0.9954476479514416,0.9954476479514416
WikiText-103 test OOD,H1,8,2,4458.0,4438.0,3136.0,0.7066246056782335,0.7034544638851503
WikiText-103 test OOD,H1,8,3,4325.0,3049.0,1951.0,0.6398819285011479,0.45109826589595375
WikiText-103 test OOD,H1,8,4,4183.0,1880.0,1151.0,0.6122340425531915,0.27516136743963665
WikiText-103 test OOD,H1,8,5,4053.0,1116.0,659.0,0.5905017921146953,0.16259560819146313
WikiText-103 test OOD,H1,8,6,3925.0,639.0,368.0,0.5758998435054773,0.0937579617834395
WikiText-103 test OOD,H1,8,7,3791.0,351.0,208.0,0.5925925925925926,0.054866789765233445
WikiText-103 test OOD,H1,8,8,3657.0,199.0,103.0,0.5175879396984925,0.028165162701668033
WikiText-103 test OOD,H8,2,1,6340.0,6340.0,6310.0,0.9952681388012619,0.9952681388012619
WikiText-103 test OOD,H8,2,2,6183.0,6153.0,4045.0,0.6574028928977734,0.6542131651301957
WikiText-103 test OOD,H8,4,1,5084.0,5084.0,5053.0,0.9939024390243902,0.9939024390243902
WikiText-103 test OOD,H8,4,2,4937.0,4908.0,3160.0,0.6438467807660961,0.6400648166902978
WikiText-103 test OOD,H8,4,3,4792.0,3062.0,2086.0,0.6812540822991509,0.43530884808013354
WikiText-103 test OOD,H8,4,4,4647.0,2016.0,1360.0,0.6746031746031746,0.29266193242952443
WikiText-103 test OOD,H8,8,1,4554.0,4554.0,4527.0,0.9940711462450593,0.9940711462450593
WikiText-103 test OOD,H8,8,2,4416.0,4390.0,2819.0,0.6421412300683371,0.6383605072463768
WikiText-103 test OOD,H8,8,3,4292.0,2742.0,1839.0,0.6706783369803063,0.42847157502329913
WikiText-103 test OOD,H8,8,4,4145.0,1767.0,1191.0,0.6740237691001698,0.2873341375150784
WikiText-103 test OOD,H8,8,5,4022.0,1158.0,775.0,0.6692573402417962,0.19269020387866734
WikiText-103 test OOD,H8,8,6,3886.0,750.0,507.0,0.676,0.13046834791559445
WikiText-103 test OOD,H8,8,7,3743.0,486.0,332.0,0.6831275720164609,0.08869890462196099
WikiText-103 test OOD,H8,8,8,3619.0,325.0,220.0,0.676923076923077,0.060790273556231005
