sample_id,document_id,title,within_document_chunk_id,source_chunk_index,token_start,token_end,document_token_count,document_character_count,document_characters_per_token,benchmark_prompt_index
0,0,Robert Boulter,0,0,0,256,2676,5436,2.031390134529148,0
3,0,Robert Boulter,3,4,1024,1280,2676,5436,2.031390134529148,1
7,0,Robert Boulter,7,9,2304,2560,2676,5436,2.031390134529148,2
11,1,Du Fu,3,18,4608,4864,11097,23979,2.1608542849418764,3
14,1,Du Fu,6,36,9216,9472,11097,23979,2.1608542849418764,4
18,2,Kiss You ( One Direction song ),2,6,1536,1792,6034,11862,1.9658601259529331,5
22,2,Kiss You ( One Direction song ),6,19,4864,5120,6034,11862,1.9658601259529331,6
26,3,Ise @-@ class battleship,2,19,4864,5120,17471,35291,2.019975960162555,7
29,3,Ise @-@ class battleship,5,48,12288,12544,17471,35291,2.019975960162555,8
33,4,Dick Rifenburg,1,3,768,1024,5117,10471,2.046316200898964,9
37,4,Dick Rifenburg,5,13,3328,3584,5117,10471,2.046316200898964,10
40,5,1933 Treasure Coast hurricane,0,0,0,256,6089,12430,2.0413861060929546,11
44,5,1933 Treasure Coast hurricane,4,13,3328,3584,6089,12430,2.0413861060929546,12
48,6,Second Battle of Naktong Bulge,0,0,0,256,25185,53784,2.135556879094699,13
52,6,Second Battle of Naktong Bulge,4,55,14080,14336,25185,53784,2.135556879094699,14
55,6,Second Battle of Naktong Bulge,7,97,24832,25088,25185,53784,2.135556879094699,15
59,7,Hed PE,3,9,2304,2560,5457,10439,1.9129558365402235,16
63,7,Hed PE,7,20,5120,5376,5457,10439,1.9129558365402235,17
67,8,Ironclad warship,3,45,11520,11776,27222,57456,2.1106458011902136,18
70,8,Ironclad warship,6,90,23040,23296,27222,57456,2.1106458011902136,19
74,9,Little Gidding ( poem ),2,4,1024,1280,4125,9152,2.2186666666666666,20
78,9,Little Gidding ( poem ),6,13,3328,3584,4125,9152,2.2186666666666666,21
81,10,The Portage to San Cristobal of A.H.,1,4,1024,1280,7048,15326,2.174517593643587,22
85,10,The Portage to San Cristobal of A.H.,5,19,4864,5120,7048,15326,2.174517593643587,23
89,11,Temnospondyli,1,12,3072,3328,22164,45208,2.039704024544306,24
93,11,Temnospondyli,5,61,15616,15872,22164,45208,2.039704024544306,25
96,12,Osbert de Bayeux,0,0,0,256,2340,4827,2.062820512820513,26
100,12,Osbert de Bayeux,4,5,1280,1536,2340,4827,2.062820512820513,27
104,13,Dvorak technique,0,0,0,256,6134,12232,1.994131072709488,28
108,13,Dvorak technique,4,13,3328,3584,6134,12232,1.994131072709488,29
111,13,Dvorak technique,7,22,5632,5888,6134,12232,1.994131072709488,30
115,14,New York State Route 31B,3,3,768,1024,1132,2254,1.991166077738516,31
119,15,Ben Amos,3,6,1536,1792,3887,7924,2.0385901723694366,32
122,15,Ben Amos,6,12,3072,3328,3887,7924,2.0385901723694366,33
126,16,Clayton Kershaw,2,17,4352,4608,15656,32219,2.057933060807358,34
130,16,Clayton Kershaw,6,51,13056,13312,15656,32219,2.057933060807358,35
134,17,Josepha Petrick Kemarre,2,3,768,1024,2800,5713,2.0403571428571428,36
137,17,Josepha Petrick Kemarre,5,6,1536,1792,2800,5713,2.0403571428571428,37
141,18,Head VI,1,5,1280,1536,9237,20374,2.205694489552885,38
145,18,Head VI,5,25,6400,6656,9237,20374,2.205694489552885,39
148,19,Imagism,0,0,0,256,9101,19064,2.094714866498187,40
152,19,Imagism,4,19,4864,5120,9101,19064,2.094714866498187,41
156,20,Operation Eastern Exit,0,0,0,256,11279,23725,2.103466619381151,42
160,20,Operation Eastern Exit,4,25,6400,6656,11279,23725,2.103466619381151,43
163,20,Operation Eastern Exit,7,43,11008,11264,11279,23725,2.103466619381151,44
167,21,2010 Claxton Shield,3,5,1280,1536,3075,6689,2.1752845528455285,45
171,21,2010 Claxton Shield,7,11,2816,3072,3075,6689,2.1752845528455285,46
175,22,Independiente ( Ricardo Arjona album ),3,15,3840,4096,9278,18979,2.045591722353956,47
178,22,Independiente ( Ricardo Arjona album ),6,30,7680,7936,9278,18979,2.045591722353956,48
182,23,2003 Pacific typhoon season,2,31,7936,8192,27893,56237,2.016168931273079,49
186,23,2003 Pacific typhoon season,6,92,23552,23808,27893,56237,2.016168931273079,50
189,24,Oxaziridine,1,3,768,1024,5680,11232,1.9774647887323944,51
193,24,Oxaziridine,5,15,3840,4096,5680,11232,1.9774647887323944,52
197,25,Battle of Dürenstein,1,10,2560,2816,17556,36354,2.070745044429255,53
201,25,Battle of Dürenstein,5,48,12288,12544,17556,36354,2.070745044429255,54
204,26,Brock Lesnar,0,0,0,256,26406,53138,2.0123456790123457,55
208,26,Brock Lesnar,4,58,14848,15104,26406,53138,2.0123456790123457,56
212,27,Constant k filter,0,0,0,256,3072,6582,2.142578125,57
216,27,Constant k filter,4,6,1536,1792,3072,6582,2.142578125,58
219,27,Constant k filter,7,11,2816,3072,3072,6582,2.142578125,59
223,30,The Snowmen,1,6,1536,1792,10458,22932,2.1927710843373496,60
227,30,The Snowmen,5,28,7168,7424,10458,22932,2.1927710843373496,61
230,31,No. 20 Squadron RAAF,0,0,0,256,3937,7799,1.980949961899924,62
234,31,No. 20 Squadron RAAF,4,8,2048,2304,3937,7799,1.980949961899924,63
238,32,Light Tank Mk VII Tetrarch,0,0,0,256,15025,32526,2.164792013311148,64
242,32,Light Tank Mk VII Tetrarch,4,33,8448,8704,15025,32526,2.164792013311148,65
245,32,Light Tank Mk VII Tetrarch,7,57,14592,14848,15025,32526,2.164792013311148,66
249,33,QuackShot,3,6,1536,1792,3947,8683,2.199898657208006,67
253,33,QuackShot,7,14,3584,3840,3947,8683,2.199898657208006,68
256,34,Olmec colossal heads,2,24,6144,6400,21724,45849,2.110522923955073,69
260,34,Olmec colossal heads,6,71,18176,18432,21724,45849,2.110522923955073,70
264,35,Brad Stevens,2,18,4608,4864,16709,35780,2.141360943204261,71
268,35,Brad Stevens,6,55,14080,14336,16709,35780,2.141360943204261,72
271,36,Shackleton ( crater ),1,2,512,768,3958,8674,2.191510864072764,73
