domain,horizon,h1_normalized_l2,h8_normalized_l2,h1_output_kl,h8_output_kl,h1_top1_agreement,h8_top1_agreement
TinyStories validation,1,0.4395851577837075,0.4373438167620211,0.2191142676612943,0.4139624800509318,0.7970661417819666,0.7181625105477326
TinyStories validation,2,0.5478739075860911,0.4677636291062518,0.6037086079492222,0.4656993885912673,0.6387786182039698,0.6939741641110477
TinyStories validation,4,0.6353523480419603,0.4957915330714526,0.932660727828862,0.5133448904648513,0.5276382092536068,0.6718442774865193
TinyStories validation,8,0.7181164608995791,0.5316210257624586,1.177390247982956,0.574577348271443,0.456783717948316,0.6440741808970553
TinyStories validation,16,0.8274597506284299,0.5788067653752735,1.486522749347302,0.6522970307387531,0.3846913475150683,0.612913172175629
TinyStories validation,32,1.0254465143636835,0.6465026607374127,2.245288786292979,0.7570406579565179,0.2684362976993164,0.5773957394547581
WikiText-103 test OOD,1,0.4733413879338985,0.4495616850667944,0.7412417430276312,0.9528529566622852,0.4770839562776172,0.4244742350244194
WikiText-103 test OOD,2,0.5432781101742505,0.473409993319247,1.067338166781064,0.9998171703860114,0.3754607161321525,0.4105251746968863
WikiText-103 test OOD,4,0.59913341748835,0.4977086431079057,1.2367615754676442,1.04746689131856,0.330030090608032,0.400205086825693
WikiText-103 test OOD,8,0.6709044230492144,0.527252436106069,1.4103693407786904,1.094971970976347,0.2940689113240745,0.3860161601667264
WikiText-103 test OOD,16,0.7883845955678347,0.5683911137104705,1.7277772895798575,1.1458415571264322,0.2379376092367989,0.3731440778207369
WikiText-103 test OOD,32,1.035795895862177,0.6335910420018266,3.088766715255506,1.2118302871257465,0.1311801101209059,0.3533424154699059
